Date,Time,Offset,Min Bat (V),Dew Pt (°F),Latest Rain (In),Daily Rain (In),Pressure (inHg),RH (%),Temp (°F),Daily Max Temp (F),Max Temp Time,Daily Min Temp (F),Min Temp Time,Wind Dir (°),Wind Gust (mph),Wind Gst Dir (°),Wind Spd (mph)
12/16/2018,1300,-08:00,12.61,53.4,0,0,29.99,84,58.1,59,1152,55.2,610,SSE | 154,35.8,SSE | 159,21.5
12/16/2018,1200,-08:00,12.61,53.4,0,0,30.04,84,58.2,59,1152,55.2,610,SSE | 155,34.9,SSE | 151,22.8
12/16/2018,1100,-08:00,12.61,53.5,0,0,30.07,85,57.9,58.3,1052,55.2,610,SSE | 151,35.9,SSE | 149,20
12/16/2018,1000,-08:00,12.61,52.6,0,0,30.06,84,57.3,57.9,835,55.2,610,SE | 144,32,SSE | 164,15.3
12/16/2018,900,-08:00,12.61,52,0,0,30.07,82,57.5,57.9,835,55.2,610,SE | 145,30.2,SE | 137,13.5
12/16/2018,800,-08:00,12.61,51.2,0,0,30.08,83,56.3,57.1,759,55.2,610,SE | 135,20,SE | 129,10.3
12/16/2018,700,-08:00,12.61,51.2,0,0,30.06,86,55.4,56.5,342,55.2,610,SE | 143,19.9,SSE | 155,11
12/16/2018,600,-08:00,12.62,52,0,0,30.07,88,55.5,56.5,342,55.2,558,SSE | 148,15,SSE | 154,7.8
12/16/2018,500,-08:00,12.64,52.5,0,0,30.06,88,56,56.5,342,55.7,500,SSE | 151,20.6,S | 178,10.4
12/16/2018,400,-08:00,12.65,52.7,0,0,30.07,88,56.2,56.5,342,55.8,312,SE | 138,16.5,SE | 134,8.2
12/16/2018,300,-08:00,12.68,52.1,0,0,30.09,87,56,56.4,111,55.8,218,SE | 145,16.9,SE | 141,8.3
12/16/2018,200,-08:00,12.71,51.3,0,0,30.09,84,56.1,56.4,111,55.9,129,SE | 140,15.7,SE | 141,8.5
12/16/2018,100,-08:00,12.73,50.7,0,0,30.11,82,56.2,56.3,7,56.1,37,SE | 136,16.1,SE | 139,9.1
12/16/2018,0,-08:00,12.58,50.8,0,0,30.12,82,56,63.5,1231,50.9,637,SE | 139,11,SSE | 148,6.3
12/15/2018,2300,-08:00,12.58,49.7,0,0,30.11,79,56.2,63.5,1231,50.9,637,SE | 145,12,SE | 146,7.2
12/15/2018,2200,-08:00,12.58,49.4,0,0,30.1,78,56.1,63.5,1231,50.9,637,SSE | 148,10.6,SSE | 157,6.1
12/15/2018,2100,-08:00,12.58,49.1,0,0,30.08,78,55.8,63.5,1231,50.9,637,SE | 140,15,ESE | 109,8.3
12/15/2018,2000,-08:00,12.58,48.1,0,0,30.08,76,55.6,63.5,1231,50.9,637,SE | 137,12,SE | 131,6.7
12/15/2018,1900,-08:00,12.58,47.6,0,0,30.08,76,54.9,63.5,1231,50.9,637,SE | 124,11.9,E | 101,5.4
12/15/2018,1800,-08:00,12.58,47.5,0,0,30.06,75,55.4,63.5,1231,50.9,637,SSE | 163,13.1,SSE | 154,6.4
12/15/2018,1700,-08:00,12.58,46.7,0,0,30.06,66,58.2,63.5,1231,50.9,637,SSE | 152,9.8,SSE | 154,3.7
12/15/2018,1600,-08:00,12.58,48,0,0,30.05,69,58,63.5,1231,50.9,637,SSE | 152,14.6,SSE | 152,7.2
12/15/2018,1500,-08:00,12.58,48,0,0,30.06,65,59.7,63.5,1231,50.9,637,S | 170,14.8,SE | 144,7.1
12/15/2018,1400,-08:00,12.58,47.4,0,0,30.05,60,61.2,63.5,1231,50.9,637,SSE | 168,21.7,S | 189,11
12/15/2018,1300,-08:00,12.58,50.4,0,0,30.07,65,62.4,63.5,1231,50.9,637,S | 171,15.5,S | 181,7.5
12/15/2018,1200,-08:00,12.58,51.4,0,0,30.08,70,61.1,63.3,1200,50.9,637,SSE | 160,14.1,S | 183,6.7
12/15/2018,1100,-08:00,12.58,51.5,0,0,30.12,71,60.9,61.9,1031,50.9,637,SSE | 162,11.5,S | 188,6.1
12/15/2018,1000,-08:00,12.58,50.4,0,0,30.11,76,58,59.5,959,50.9,637,SE | 132,9.4,E | 100,5.4
12/15/2018,900,-08:00,12.58,49.5,0,0,30.09,81,55.3,57.6,856,50.9,637,E | 94,14.8,E | 101,7.4
12/15/2018,800,-08:00,12.58,48.2,0,0,30.09,86,52.3,54,800,50.9,637,E | 84,11.2,ENE | 72,8
12/15/2018,700,-08:00,12.58,47.8,0,0,30.09,86,51.8,53.6,7,50.9,637,E | 84,9,ENE | 75,6.2
12/15/2018,600,-08:00,12.58,48.3,0,0,30.08,86,52.3,53.6,7,50.9,301,E | 82,10.2,ENE | 75,6.6
12/15/2018,500,-08:00,12.59,48.4,0,0,30.07,87,52.1,53.6,7,50.9,301,E | 87,12,E | 93,8.2
12/15/2018,400,-08:00,12.59,48.6,0,0,30.09,90,51.6,53.6,7,50.9,301,E | 90,11.9,ENE | 77,7.8
12/15/2018,300,-08:00,12.6,49.1,0,0,30.1,90,51.8,53.6,7,51,300,E | 84,12.2,ENE | 75,8.6
12/15/2018,200,-08:00,12.6,49.5,0,0,30.12,91,52,53.6,7,51.7,150,E | 84,9.6,E | 87,8
12/15/2018,100,-08:00,12.61,50,0,0,30.12,90,52.7,53.6,7,52.2,45,E | 85,9.7,E | 87,6.8
12/15/2018,0,-08:00,12.62,50.8,0,0.09,30.13,90,53.5,62.8,22,53.2,2358,E | 99,7.4,ESE | 102,4.4
12/14/2018,2300,-08:00,12.64,51.1,0,0.09,30.14,90,54,62.8,22,53.3,1723,ESE | 102,8.8,E | 88,6.2
12/14/2018,2200,-08:00,12.64,51.7,0,0.09,30.13,90,54.5,62.8,22,53.3,1723,ESE | 114,10.1,ESE | 106,6
12/14/2018,2100,-08:00,12.64,51.2,0,0.09,30.13,88,54.7,62.8,22,53.3,1723,ESE | 122,13.3,ESE | 116,6.6
12/14/2018,2000,-08:00,12.64,51.4,0,0.09,30.13,89,54.7,62.8,22,53.3,1723,ESE | 109,12.5,ESE | 112,7.1
12/14/2018,1900,-08:00,12.64,51.6,0,0.09,30.12,91,54.2,62.8,22,53.3,1723,SE | 125,16.1,SE | 142,8.7
12/14/2018,1800,-08:00,12.64,52.2,0.02,0.09,30.12,95,53.6,62.8,22,53.3,1723,SSE | 147,15.7,SE | 125,10.1
12/14/2018,1700,-08:00,12.64,52.8,0.05,0.07,30.13,93,54.9,62.8,22,53.8,1657,SSE | 164,19.9,SSE | 150,9.8
12/14/2018,1600,-08:00,12.64,52.3,0,0.02,30.12,84,56.9,62.8,22,55.2,1112,SSE | 165,22.1,SE | 146,12.2
12/14/2018,1500,-08:00,12.64,51.9,0,0.02,30.09,79,58.5,62.8,22,55.2,1112,SSE | 161,21.2,SSE | 154,12.4
12/14/2018,1400,-08:00,12.64,51.9,0,0.02,30.08,75,59.9,62.8,22,55.2,1112,SSE | 167,26.8,S | 177,15.2
12/14/2018,1300,-08:00,12.64,53.4,0,0.02,30.08,80,59.5,62.8,22,55.2,1112,SSE | 166,27,SSE | 165,15.7
12/14/2018,1200,-08:00,12.64,53.6,0,0.02,30.1,90,56.7,62.8,22,55.2,1112,SSE | 162,22.9,S | 174,14.3
12/14/2018,1100,-08:00,12.64,53.3,0.02,0.02,30.12,86,57.6,62.8,22,55.4,1056,S | 169,34.8,S | 179,19.1
12/14/2018,1000,-08:00,12.64,52.6,0,0,30.11,82,58.2,62.8,22,56.4,441,SSE | 167,34.9,SSE | 152,19.6
12/14/2018,900,-08:00,12.64,51.6,0,0,30.04,79,57.9,62.8,22,56.4,441,SSE | 156,41.2,SSE | 165,23.5
12/14/2018,800,-08:00,12.64,51.2,0,0,30.05,80,57.4,62.8,22,56.4,441,SSE | 157,33.6,ESE | 118,20.1
12/14/2018,700,-08:00,12.65,51.5,0,0,30.04,82,57,62.8,22,56.4,441,SSE | 158,29.6,SSE | 147,16.4
12/14/2018,600,-08:00,12.66,50.6,0,0,30.05,79,57.1,62.8,22,56.4,441,SSE | 157,33,SE | 134,16.1
12/14/2018,500,-08:00,12.69,48.8,0,0,30.05,75,56.7,62.8,22,56.4,441,SSE | 151,20.4,SE | 145,10.3
12/14/2018,400,-08:00,12.72,41.5,0,0,30.08,54,58.4,62.8,22,57,359,SSE | 165,19.4,SSE | 159,10.5
12/14/2018,300,-08:00,12.74,34.5,0,0,30.07,37,60.9,62.8,22,59.6,300,SSE | 155,24.7,SSE | 159,10.2
12/14/2018,200,-08:00,12.75,31.5,0,0,30.08,32,61.6,62.8,22,60.1,46,SSE | 151,18.5,SSE | 155,8
12/14/2018,100,-08:00,12.77,30.6,0,0,30.07,31,61.6,62.8,22,60.1,46,SE | 139,11.6,SE | 140,6.1
12/14/2018,0,-08:00,12.6,32.5,0,0,30.08,36,59.7,66.9,1158,42.2,747,ESE | 110,10.2,SE | 129,5.7
12/13/2018,2300,-08:00,12.6,32.1,0,0,30.1,34,60.4,66.9,1158,42.2,747,ESE | 112,10,ESE | 109,6.2
12/13/2018,2200,-08:00,12.6,35.4,0,0,30.1,46,56.1,66.9,1158,42.2,747,ESE | 104,12.1,SE | 131,6.1
12/13/2018,2100,-08:00,12.6,36.8,0,0,30.11,50,55.5,66.9,1158,42.2,747,E | 91,8.3,ENE | 68,5.4
12/13/2018,2000,-08:00,12.6,42.1,0,0,30.12,68,52.3,66.9,1158,42.2,747,E | 81,11.8,ENE | 60,6.3
12/13/2018,1900,-08:00,12.6,44.2,0,0,30.13,75,51.8,66.9,1158,42.2,747,E | 89,9.4,E | 82,5.3
12/13/2018,1800,-08:00,12.6,47,0,0,30.12,78,53.8,66.9,1158,42.2,747,SSE | 150,7.6,S | 189,3.1
12/13/2018,1700,-08:00,12.6,47.5,0,0,30.14,67,58.3,66.9,1158,42.2,747,WSW | 237,3.6,E | 93,1.7
12/13/2018,1600,-08:00,12.6,48.7,0,0,30.15,62,61.8,66.9,1158,42.2,747,W | 261,7.4,WSW | 253,3.3
12/13/2018,1500,-08:00,12.6,48.4,0,0,30.15,59,63,66.9,1158,42.2,747,WSW | 238,7.9,WSW | 248,3.8
12/13/2018,1400,-08:00,12.6,46.3,0,0,30.16,54,63.2,66.9,1158,42.2,747,WSW | 248,7.4,WSW | 246,4.7
12/13/2018,1300,-08:00,12.6,44.2,0,0,30.18,49,63.9,66.9,1158,42.2,747,WSW | 242,6.7,SW | 235,4.6
12/13/2018,1200,-08:00,12.6,36.6,0,0,30.21,34,65.7,66.9,1158,42.2,747,W | 262,5.3,WSW | 248,2.7
12/13/2018,1100,-08:00,12.6,35,0,0,30.24,36,62.3,65.6,1100,42.2,747,ENE | 71,12.2,NE | 52,6.3
12/13/2018,1000,-08:00,12.6,32.6,0,0,30.27,41,56.2,59.2,1000,42.2,747,E | 85,11.9,E | 85,8.4
12/13/2018,900,-08:00,12.6,31.8,0,0,30.25,50,50.1,55,526,42.2,747,E | 85,11.5,E | 93,6.7
12/13/2018,800,-08:00,12.6,28.8,0,0,30.25,50,46.4,55,526,42.2,747,ENE | 75,11.4,ENE | 58,8
12/13/2018,700,-08:00,12.62,29.1,0,0,30.26,50,47.3,55,526,43.2,20,E | 95,14.8,ENE | 72,9.2
12/13/2018,600,-08:00,12.64,26.3,0,0,30.23,35,53.4,55,526,43.2,20,ENE | 62,18.5,ENE | 62,12.7
12/13/2018,500,-08:00,12.66,30.5,0,0,30.25,45,51.6,53.2,425,43.2,20,E | 84,11.2,ENE | 63,5.6
12/13/2018,400,-08:00,12.68,34.7,0,0,30.26,54,50.7,52.1,308,43.2,20,SE | 131,7,E | 89,2.1
12/13/2018,300,-08:00,12.69,34.2,0,0,30.26,61,46.8,49.4,240,43.2,20,E | 82,11.5,E | 90,6.8
12/13/2018,200,-08:00,12.71,36.4,0,0,30.26,71,45.3,48.2,46,43.2,20,E | 82,10,E | 83,7.1
12/13/2018,100,-08:00,12.74,37.9,0,0,30.27,75,45.4,48.2,46,43.2,20,ENE | 76,11.9,E | 86,6.4
12/13/2018,0,-08:00,12.63,39.6,0,0.03,30.27,83,44.5,62.5,1423,43.3,2233,E | 86,12.7,E | 83,9.5
12/12/2018,2300,-08:00,12.63,41,0,0.03,30.29,88,44.2,62.5,1423,43.3,2233,E | 86,10.1,E | 88,6.7
12/12/2018,2200,-08:00,12.63,41.2,0,0.03,30.29,81,46.9,62.5,1423,44.4,2200,E | 87,8.1,E | 90,3.8
12/12/2018,2100,-08:00,12.63,42.4,0,0.03,30.28,77,49.4,62.5,1423,45.9,2053,NE | 39,11.3,N | 7,6.7
12/12/2018,2000,-08:00,12.63,42.6,0,0.03,30.29,73,51,62.5,1423,48.4,1939,NNE | 18,11,N | 0,5.5
12/12/2018,1900,-08:00,12.63,43.1,0,0.03,30.29,71,52.3,62.5,1423,51.8,1858,NE | 45,3.6,E | 80,1.2
12/12/2018,1800,-08:00,12.63,45.5,0,0.03,30.27,76,52.9,62.5,1423,52.3,1742,NNE | 17,12.2,NNW | 346,4.5
12/12/2018,1700,-08:00,12.63,46.4,0,0.03,30.27,73,54.7,62.5,1423,52.7,700,NNW | 329,15.8,NNW | 331,8.6
12/12/2018,1600,-08:00,12.63,46.9,0,0.03,30.24,71,56.2,62.5,1423,52.7,700,NW | 325,21.8,NNW | 335,12.4
12/12/2018,1500,-08:00,12.63,39.6,0,0.03,30.23,45,61.1,62.5,1423,52.7,700,N | 351,19.6,NW | 325,9
12/12/2018,1400,-08:00,12.63,37.8,0,0.03,30.22,43,60.5,61.8,1355,52.7,700,N | 6,21.2,N | 3,10.2
12/12/2018,1300,-08:00,12.63,42,0,0.03,30.2,53,58.9,59.4,1259,52.7,700,N | 352,19.3,NNW | 348,10.8
12/12/2018,1200,-08:00,12.63,44.9,0,0.03,30.22,63,57.6,58.3,1016,52.7,700,NNE | 17,23.9,NNE | 19,14.4
12/12/2018,1100,-08:00,12.63,48.3,0.01,0.03,30.25,72,57.3,58.3,1016,52.7,700,NNE | 18,24.4,NNW | 344,12.1
12/12/2018,1000,-08:00,12.63,50.7,0,0.02,30.27,83,55.6,57.4,1000,52.7,700,NNW | 348,12.1,NNW | 341,7.7
12/12/2018,900,-08:00,12.63,50.5,0,0.02,30.26,88,54.1,54.9,249,52.7,700,NNE | 13,17.8,N | 349,9.6
12/12/2018,800,-08:00,12.63,51.7,0,0.02,30.25,94,53.2,54.9,249,52.7,700,NNE | 33,15.1,NNE | 12,7.6
12/12/2018,700,-08:00,12.65,52.6,0,0.02,30.24,98,53.2,54.9,249,52.7,700,N | 354,14.5,NNW | 336,7.2
12/12/2018,600,-08:00,12.66,53.2,0,0.02,30.22,98,53.6,54.9,249,53.3,542,NNW | 334,14.8,NNW | 348,6.7
12/12/2018,500,-08:00,12.69,53.7,0,0.02,30.22,99,54.1,54.9,249,53.8,456,NW | 323,12.6,NW | 317,7.3
12/12/2018,400,-08:00,12.7,54,0,0.02,30.23,99,54.2,54.9,249,53.8,2,NNW | 334,19.8,NNW | 347,6.8
12/12/2018,300,-08:00,12.74,54.6,0.01,0.02,30.24,100,54.7,54.9,249,53.8,2,NNW | 328,21.7,NNW | 343,8.4
12/12/2018,200,-08:00,12.75,54.4,0.01,0.01,30.23,99,54.5,54.7,146,53.8,2,NNW | 340,12.2,NNW | 341,7.3
12/12/2018,100,-08:00,12.77,53.9,0,0,30.24,99,54.1,54.3,51,53.8,2,NNW | 332,13.3,NNW | 340,7.8
12/12/2018,0,-08:00,12.6,53.3,0,0,30.23,98,53.8,59.4,1252,45.3,458,NNW | 346,13.2,N | 0,7.2
12/11/2018,2300,-08:00,12.6,52.9,0,0,30.22,96,53.8,59.4,1252,45.3,458,NNW | 344,15.6,NNW | 331,8.1
12/11/2018,2200,-08:00,12.6,51.8,0,0,30.22,93,53.8,59.4,1252,45.3,458,NNW | 342,15.3,N | 9,8.2
12/11/2018,2100,-08:00,12.6,50.4,0,0,30.22,88,53.8,59.4,1252,45.3,458,N | 358,11,N | 0,5.3
12/11/2018,2000,-08:00,12.6,49.2,0,0,30.22,86,53.2,59.4,1252,45.3,458,N | 7,10.2,N | 6,5.5
12/11/2018,1900,-08:00,12.6,47.5,0,0,30.21,84,52,59.4,1252,45.3,458,N | 5,10.4,N | 351,4.9
12/11/2018,1800,-08:00,12.6,45.2,0,0,30.19,78,51.7,59.4,1252,45.3,458,N | 355,12.3,N | 3,6.8
12/11/2018,1700,-08:00,12.6,44.8,0,0,30.19,73,53.2,59.4,1252,45.3,458,NNW | 345,13.7,NNW | 333,7.6
12/11/2018,1600,-08:00,12.6,45,0,0,30.2,67,55.6,59.4,1252,45.3,458,NW | 314,12.1,NW | 323,7.4
12/11/2018,1500,-08:00,12.6,45.3,0,0,30.17,68,55.8,59.4,1252,45.3,458,NW | 318,13.6,NW | 325,8.5
12/11/2018,1400,-08:00,12.6,45.4,0,0,30.18,66,56.8,59.4,1252,45.3,458,NW | 311,14.5,NW | 308,8.6
12/11/2018,1300,-08:00,12.6,44.9,0,0,30.18,62,57.7,59.4,1252,45.3,458,NW | 316,12.5,NNW | 338,6.3
12/11/2018,1200,-08:00,12.6,45.1,0,0,30.2,66,56.5,57.6,1136,45.3,458,NW | 324,13.2,NW | 323,8.9
12/11/2018,1100,-08:00,12.6,44.8,0,0,30.22,67,55.6,56.5,1038,45.3,458,NW | 305,11.4,NW | 319,6
12/11/2018,1000,-08:00,12.6,45.9,0,0,30.23,76,53.2,54.6,851,45.3,458,NW | 325,11.7,NW | 307,6
12/11/2018,900,-08:00,12.6,41.5,0,0,30.21,67,52,54.6,851,45.3,458,NNE | 28,5,NW | 326,2.5
12/11/2018,800,-08:00,12.6,40.9,0,0,30.2,80,46.7,51.3,548,45.3,458,SSE | 152,5.3,E | 90,2.8
12/11/2018,700,-08:00,12.6,41.8,0,0,30.18,77,48.5,51.3,548,45.3,458,SSW | 195,5.7,NE | 42,1.7
12/11/2018,600,-08:00,12.63,42.6,0,0,30.17,79,48.8,51.3,548,45.3,458,NNE | 19,11.5,N | 9,3.1
12/11/2018,500,-08:00,12.65,44.6,0,0,30.17,83,49.4,50.6,229,45.3,458,NNE | 24,11.2,N | 1,6.1
12/11/2018,400,-08:00,12.67,45.3,0,0,30.19,86,49.2,50.6,229,45.9,48,N | 351,8.7,N | 0,4.2
12/11/2018,300,-08:00,12.69,47.2,0,0,30.19,89,50.2,50.6,229,45.9,48,N | 6,9.9,NNE | 14,5.9
12/11/2018,200,-08:00,12.7,47.4,0,0,30.18,91,50.1,50.4,109,45.9,48,NNE | 14,9.7,N | 354,6.1
12/11/2018,100,-08:00,12.73,44.9,0,0,30.19,89,48.1,49.4,37,45.9,48,NNE | 33,6.2,NNE | 21,2.3
12/11/2018,0,-08:00,12.62,45.4,0,0,30.2,88,48.9,59.9,1157,46.2,2105,N | 2,5.4,N | 11,2.4
12/10/2018,2300,-08:00,12.62,45.2,0,0,30.2,89,48.4,59.9,1157,46.2,2105,ENE | 69,8.8,ENE | 77,4
12/10/2018,2200,-08:00,12.62,45.4,0,0,30.19,89,48.6,59.9,1157,46.2,2105,ENE | 68,11,ENE | 72,7.9
12/10/2018,2100,-08:00,12.62,45.4,0,0,30.19,87,49,59.9,1157,46.6,2059,NE | 34,9.7,E | 81,4.7
12/10/2018,2000,-08:00,12.62,46.9,0,0,30.18,88,50.1,59.9,1157,47.1,153,N | 354,12.4,N | 349,5.9
12/10/2018,1900,-08:00,12.62,47.6,0,0,30.18,90,50.5,59.9,1157,47.1,153,N | 355,11.8,NNW | 344,7.9
12/10/2018,1800,-08:00,12.62,46.9,0,0,30.17,84,51.6,59.9,1157,47.1,153,N | 1,13,N | 351,6.9
12/10/2018,1700,-08:00,12.62,47.2,0,0,30.17,77,54.4,59.9,1157,47.1,153,NNW | 342,12.6,NNW | 341,6
12/10/2018,1600,-08:00,12.62,47.4,0,0,30.16,72,56.4,59.9,1157,47.1,153,NW | 322,18.3,NW | 315,10.9
12/10/2018,1500,-08:00,12.62,47.2,0,0,30.15,66,58.3,59.9,1157,47.1,153,N | 353,15.4,N | 0,8.2
12/10/2018,1400,-08:00,12.62,47.6,0,0,30.15,68,57.9,59.9,1157,47.1,153,NNE | 26,19.8,NE | 52,9.5
12/10/2018,1300,-08:00,12.62,47.8,0,0,30.16,69,58.1,59.9,1157,47.1,153,NE | 35,16.3,NE | 53,8.7
12/10/2018,1200,-08:00,12.62,47.9,0,0,30.2,69,57.9,59.9,1157,47.1,153,NNE | 30,14.6,NE | 54,7.2
12/10/2018,1100,-08:00,12.62,47.7,0,0,30.23,67,58.5,59.7,1038,47.1,153,NNE | 19,11.9,ENE | 69,5.6
12/10/2018,1000,-08:00,12.62,46,0,0,30.23,72,54.8,57,1000,47.1,153,ENE | 67,16.9,ENE | 62,10.8
12/10/2018,900,-08:00,12.62,43.7,0,0,30.23,74,51.6,55.2,521,47.1,153,ENE | 72,12.5,NE | 50,7.9
12/10/2018,800,-08:00,12.62,42.4,0,0,30.21,71,51.5,55.2,521,47.1,153,ENE | 64,7.1,E | 85,2.5
12/10/2018,700,-08:00,12.62,42,0,0,30.21,70,51.6,55.2,521,47.1,153,NE | 54,9,E | 84,3.1
12/10/2018,600,-08:00,12.62,40.4,0,0,30.2,61,53.6,55.2,521,47.1,153,NE | 41,8.9,E | 92,4.1
