field,date.time,area,activity,herd,n,weight,season,date,time,hour
31,2018-03-18T08:16:33Z,31,Move Out,Cows,43,58943,growing,2018-03-18,08:16,08
30B,2018-03-19T17:16:54Z,Subdivision 1,Move Out,Cows,43,58953,growing,2018-03-19,17:16,17
30B,2018-03-19T17:16:54Z,Subdivision 2,Move In,Cows,43,58953,growing,2018-03-19,17:16,17
30A,2018-03-21T12:48:20Z,Subdivision 3,Move In,Cows,43,58958,growing,2018-03-21,12:48,12
30B,2018-03-21T12:48:20Z,Subdivision 2,Move Out,Cows,43,58958,growing,2018-03-21,12:48,12
30A,2018-03-22T08:48:58Z,Subdivision 1,Move In,Cows,43,58963,growing,2018-03-22,08:48,08
30A,2018-03-22T08:48:58Z,Subdivision 3,Move Out,Cows,43,58963,growing,2018-03-22,08:48,08
30A,2018-03-23T06:49:23Z,Subdivision 1,Move Out,Cows,43,58968,growing,2018-03-23,06:49,06
30A,2018-03-23T06:49:23Z,Subdivision 2,Move In,Cows,43,58968,growing,2018-03-23,06:49,06
25,2018-03-23T18:51:09Z,Subdivision 2,Move In,Cows,43,58973,growing,2018-03-23,18:51,18
30A,2018-03-23T18:51:09Z,Subdivision 2,Move Out,Cows,43,58973,growing,2018-03-23,18:51,18
25,2018-03-24T08:51:38Z,Subdivision 1,Move In,Cows,43,58973,growing,2018-03-24,08:51,08
25,2018-03-24T08:51:38Z,Subdivision 2,Move Out,Cows,43,58973,growing,2018-03-24,08:51,08
25,2018-03-25T14:52:28Z,Subdivision 1,Move Out,Cows,43,58978,growing,2018-03-25,14:52,14
29,2018-03-25T14:52:28Z,29,Move In,Cows,43,58978,growing,2018-03-25,14:52,14
15,2018-03-26T08:53:36Z,15,Move In,Cows,43,58983,growing,2018-03-26,08:53,08
