Point,S.ACE,S.obs,prop,n
HOCR-001,55,39,0.7090909090909091,18
HOCR-002,39,35,0.8974358974358975,18
HOCR-003,35,30,0.8571428571428571,18
HOCR-004,46,37,0.8043478260869565,18
HOCR-005,44,40,0.9090909090909091,18
HOCR-006,51,47,0.9215686274509803,18
HOCR-007,49,44,0.8979591836734694,18
HOCR-008,47,43,0.9148936170212766,18
HOCR-009,41,38,0.926829268292683,18
HOCR-010,35,33,0.9428571428571428,18
HOCR-011,46,42,0.9130434782608695,18
HOCR-012,43,39,0.9069767441860465,18
TOKA-001,32,27,0.84375,6
TOKA-002,26,21,0.8076923076923077,4
TOKA-003,41,38,0.926829268292683,6
TOKA-004,17,13,0.7647058823529411,2
TOKA-005,32,26,0.8125,8
