pasture,year,group,species
19,2018,natgdiv,2
20,2012,natgdiv,0
20,2013,natgdiv,0
20,2014,natgdiv,1
20,2016,natgdiv,1
20,2017,natgdiv,2
20,2018,natgdiv,2
21,2012,natgdiv,0
21,2013,natgdiv,0
21,2014,natgdiv,3
21,2016,natgdiv,3
21,2017,natgdiv,1
21,2018,natgdiv,3
22,2012,natgdiv,1
22,2013,natgdiv,3
22,2014,natgdiv,3
22,2016,natgdiv,1
22,2017,natgdiv,2
22,2018,natgdiv,2
23,2012,natgdiv,2
23,2013,natgdiv,2
23,2014,natgdiv,3
23,2016,natgdiv,1
23,2017,natgdiv,2
23,2018,natgdiv,1
24,2013,natgdiv,1
24,2014,natgdiv,1
24,2016,natgdiv,1
24,2017,natgdiv,1
24,2018,natgdiv,1
25,2012,natgdiv,2
25,2013,natgdiv,2
25,2014,natgdiv,2
25,2016,natgdiv,2
25,2017,natgdiv,3
25,2018,natgdiv,4
26,2012,natgdiv,3
26,2013,natgdiv,5
26,2014,natgdiv,4
26,2016,natgdiv,3
26,2017,natgdiv,4
26,2018,natgdiv,4
27,2012,natgdiv,0
27,2013,natgdiv,3
27,2014,natgdiv,5
27,2016,natgdiv,0
27,2017,natgdiv,4
27,2018,natgdiv,5
28,2012,natgdiv,1
28,2013,natgdiv,2
28,2014,natgdiv,3
28,2016,natgdiv,1
28,2017,natgdiv,2
28,2018,natgdiv,3
29,2012,natgdiv,1
29,2013,natgdiv,1
29,2014,natgdiv,3
29,2016,natgdiv,1
29,2017,natgdiv,3
29,2018,natgdiv,2
31,2012,natgdiv,1
31,2013,natgdiv,2
31,2014,natgdiv,2
31,2016,natgdiv,4
31,2017,natgdiv,3
31,2018,natgdiv,3
32,2012,natgdiv,1
32,2013,natgdiv,3
32,2014,natgdiv,4
32,2016,natgdiv,4
32,2017,natgdiv,2
32,2018,natgdiv,4
33,2012,natgdiv,1
33,2013,natgdiv,2
33,2014,natgdiv,4
33,2016,natgdiv,3
33,2017,natgdiv,3
33,2018,natgdiv,3
34,2012,natgdiv,1
34,2013,natgdiv,5
34,2014,natgdiv,4
34,2016,natgdiv,3
34,2017,natgdiv,7
34,2018,natgdiv,4
35,2012,natgdiv,1
35,2013,natgdiv,2
35,2014,natgdiv,5
35,2016,natgdiv,4
35,2017,natgdiv,5
35,2018,natgdiv,6
36,2012,natgdiv,1
36,2013,natgdiv,2
36,2014,natgdiv,4
36,2016,natgdiv,4
36,2017,natgdiv,3
36,2018,natgdiv,4
40,2012,natgdiv,0
40,2013,natgdiv,1
40,2014,natgdiv,4
40,2016,natgdiv,2
40,2017,natgdiv,1
40,2018,natgdiv,0
41,2012,natgdiv,0
41,2013,natgdiv,0
41,2014,natgdiv,1
41,2016,natgdiv,0
41,2017,natgdiv,3
41,2018,natgdiv,2
42,2012,natgdiv,0
42,2013,natgdiv,0
42,2014,natgdiv,1
42,2016,natgdiv,3
42,2017,natgdiv,1
42,2018,natgdiv,2
43,2012,natgdiv,0
43,2013,natgdiv,1
43,2014,natgdiv,2
43,2016,natgdiv,2
43,2017,natgdiv,0
43,2018,natgdiv,2
44,2012,natgdiv,0
44,2013,natgdiv,1
44,2014,natgdiv,1
44,2016,natgdiv,2
44,2017,natgdiv,2
44,2018,natgdiv,1
45,2012,natgdiv,1
45,2013,natgdiv,0
45,2014,natgdiv,3
45,2016,natgdiv,0
45,2017,natgdiv,0
45,2018,natgdiv,3
46,2012,natgdiv,0
46,2013,natgdiv,0
46,2014,natgdiv,0
46,2016,natgdiv,1
46,2017,natgdiv,0
46,2018,natgdiv,2
47,2012,natgdiv,1
47,2013,natgdiv,0
47,2014,natgdiv,2
47,2016,natgdiv,0
47,2017,natgdiv,1
47,2018,natgdiv,1
48,2012,natgdiv,0
48,2013,natgdiv,0
48,2014,natgdiv,1
48,2016,natgdiv,1
48,2017,natgdiv,0
48,2018,natgdiv,1
49,2012,natgdiv,1
49,2013,natgdiv,1
49,2014,natgdiv,2
49,2016,natgdiv,2
49,2017,natgdiv,1
49,2018,natgdiv,3
50,2012,natgdiv,0
50,2013,natgdiv,0
50,2014,natgdiv,0
50,2016,natgdiv,1
50,2017,natgdiv,0
50,2018,natgdiv,1
51,2012,natgdiv,0
51,2013,natgdiv,0
51,2014,natgdiv,1
51,2016,natgdiv,2
51,2017,natgdiv,2
51,2018,natgdiv,2
52,2012,natgdiv,0
52,2013,natgdiv,1
52,2014,natgdiv,5
52,2016,natgdiv,1
52,2017,natgdiv,4
52,2018,natgdiv,3
53,2012,natgdiv,0
53,2013,natgdiv,1
53,2014,natgdiv,3
53,2016,natgdiv,1
53,2017,natgdiv,0
53,2018,natgdiv,2
55,2012,natgdiv,0
55,2013,natgdiv,1
55,2014,natgdiv,4
55,2016,natgdiv,1
55,2017,natgdiv,0
55,2018,natgdiv,1
56,2012,natgdiv,0
56,2013,natgdiv,2
56,2014,natgdiv,4
56,2016,natgdiv,1
56,2017,natgdiv,3
56,2018,natgdiv,3
57,2012,natgdiv,0
57,2013,natgdiv,2
57,2014,natgdiv,4
57,2016,natgdiv,4
57,2017,natgdiv,3
57,2018,natgdiv,4
59,2012,natgdiv,0
59,2013,natgdiv,2
59,2014,natgdiv,3
59,2016,natgdiv,2
59,2017,natgdiv,3
59,2018,natgdiv,2
60,2012,natgdiv,0
60,2013,natgdiv,2
60,2014,natgdiv,3
60,2016,natgdiv,2
60,2017,natgdiv,4
60,2018,natgdiv,4
61,2012,natgdiv,0
61,2013,natgdiv,0
61,2014,natgdiv,2
61,2016,natgdiv,1
61,2017,natgdiv,1
61,2018,natgdiv,2
62,2012,natgdiv,0
62,2013,natgdiv,1
62,2014,natgdiv,1
62,2016,natgdiv,1
62,2017,natgdiv,1
62,2018,natgdiv,1
63,2012,natgdiv,0
63,2013,natgdiv,1
63,2014,natgdiv,2
63,2016,natgdiv,0
63,2017,natgdiv,3
63,2018,natgdiv,1
64,2012,natgdiv,0
64,2013,natgdiv,2
64,2014,natgdiv,4
64,2016,natgdiv,1
64,2017,natgdiv,3
64,2018,natgdiv,4
65,2012,natgdiv,0
65,2013,natgdiv,0
65,2014,natgdiv,2
65,2016,natgdiv,2
65,2017,natgdiv,1
65,2018,natgdiv,2
66,2012,natgdiv,0
66,2013,natgdiv,0
66,2014,natgdiv,4
66,2016,natgdiv,2
66,2017,natgdiv,1
66,2018,natgdiv,2
67,2012,natgdiv,0
67,2013,natgdiv,1
67,2014,natgdiv,1
67,2016,natgdiv,1
67,2017,natgdiv,0
67,2018,natgdiv,2
68,2012,natgdiv,0
68,2013,natgdiv,0
68,2014,natgdiv,3
68,2016,natgdiv,3
68,2017,natgdiv,4
68,2018,natgdiv,2
12a,2012,natgdiv,1
12a,2013,natgdiv,3
12a,2014,natgdiv,2
12a,2016,natgdiv,3
12a,2017,natgdiv,3
12a,2018,natgdiv,4
12b,2012,natgdiv,0
12b,2013,natgdiv,3
12b,2014,natgdiv,3
12b,2016,natgdiv,2
12b,2017,natgdiv,3
12b,2018,natgdiv,4
16a,2012,natgdiv,1
16a,2013,natgdiv,2
16a,2014,natgdiv,2
16a,2016,natgdiv,2
16a,2017,natgdiv,4
16a,2018,natgdiv,5
16b,2012,natgdiv,1
16b,2013,natgdiv,1
16b,2014,natgdiv,3
16b,2016,natgdiv,2
16b,2017,natgdiv,2
16b,2018,natgdiv,2
2a,2012,natgdiv,0
2a,2013,natgdiv,2
2a,2014,natgdiv,1
2a,2016,natgdiv,3
2a,2017,natgdiv,4
2a,2018,natgdiv,3
2b,2012,natgdiv,0
2b,2013,natgdiv,1
2b,2014,natgdiv,1
2b,2017,natgdiv,0
2b,2018,natgdiv,0
30a,2012,natgdiv,2
30a,2013,natgdiv,2
30a,2014,natgdiv,4
30a,2016,natgdiv,1
30a,2017,natgdiv,4
30a,2018,natgdiv,4
30b,2012,natgdiv,1
30b,2013,natgdiv,1
30b,2014,natgdiv,2
30b,2016,natgdiv,1
30b,2017,natgdiv,1
30b,2018,natgdiv,1
37a,2012,natgdiv,0
37a,2013,natgdiv,2
37a,2014,natgdiv,2
37a,2016,natgdiv,3
37a,2017,natgdiv,1
37a,2018,natgdiv,4
37b,2012,natgdiv,0
37b,2013,natgdiv,0
37b,2014,natgdiv,0
37b,2016,natgdiv,1
37b,2017,natgdiv,2
37b,2018,natgdiv,2
38a,2012,natgdiv,0
38a,2013,natgdiv,1
38a,2014,natgdiv,4
38a,2016,natgdiv,0
38a,2017,natgdiv,2
38a,2018,natgdiv,2
38b,2012,natgdiv,1
38b,2013,natgdiv,0
38b,2017,natgdiv,0
38b,2018,natgdiv,0
39a,2012,natgdiv,0
39a,2013,natgdiv,1
39a,2014,natgdiv,2
39a,2016,natgdiv,0
39a,2017,natgdiv,0
39a,2018,natgdiv,0
39b,2012,natgdiv,0
39b,2013,natgdiv,4
39b,2014,natgdiv,4
39b,2016,natgdiv,3
39b,2017,natgdiv,3
39b,2018,natgdiv,2
58a,2012,natgdiv,0
58a,2013,natgdiv,3
58a,2014,natgdiv,3
58a,2016,natgdiv,2
58a,2017,natgdiv,3
58a,2018,natgdiv,2
58b,2012,natgdiv,0
58b,2013,natgdiv,1
58b,2014,natgdiv,0
58b,2017,natgdiv,0
58b,2018,natgdiv,1
6a,2012,natgdiv,2
6a,2013,natgdiv,4
6a,2014,natgdiv,2
6a,2016,natgdiv,3
6a,2017,natgdiv,3
6a,2018,natgdiv,2
6b,2012,natgdiv,1
6b,2013,natgdiv,3
6b,2014,natgdiv,3
6b,2016,natgdiv,3
6b,2017,natgdiv,2
6b,2018,natgdiv,2
1,2012,nonngdiv,13
1,2013,nonngdiv,9
1,2014,nonngdiv,11
1,2017,nonngdiv,14
1,2018,nonngdiv,13
3,2012,nonngdiv,11
3,2013,nonngdiv,13
3,2014,nonngdiv,10
3,2016,nonngdiv,12
3,2017,nonngdiv,11
3,2018,nonngdiv,12
4,2012,nonngdiv,12
4,2013,nonngdiv,13
4,2014,nonngdiv,9
4,2016,nonngdiv,9
4,2017,nonngdiv,8
4,2018,nonngdiv,15
5,2012,nonngdiv,13
5,2013,nonngdiv,12
5,2014,nonngdiv,12
5,2016,nonngdiv,14
5,2017,nonngdiv,14
5,2018,nonngdiv,10
7,2012,nonngdiv,9
7,2013,nonngdiv,13
7,2014,nonngdiv,8
7,2016,nonngdiv,12
7,2017,nonngdiv,11
7,2018,nonngdiv,12
8,2012,nonngdiv,11
8,2013,nonngdiv,12
8,2014,nonngdiv,10
8,2016,nonngdiv,13
8,2017,nonngdiv,10
8,2018,nonngdiv,15
9,2012,nonngdiv,11
9,2013,nonngdiv,16
9,2014,nonngdiv,8
9,2016,nonngdiv,11
9,2017,nonngdiv,10
9,2018,nonngdiv,7
10,2012,nonngdiv,10
10,2013,nonngdiv,8
10,2014,nonngdiv,7
10,2016,nonngdiv,10
10,2017,nonngdiv,13
10,2018,nonngdiv,9
11,2012,nonngdiv,8
11,2013,nonngdiv,11
11,2014,nonngdiv,8
11,2016,nonngdiv,11
11,2017,nonngdiv,13
11,2018,nonngdiv,7
14,2012,nonngdiv,10
14,2013,nonngdiv,11
14,2014,nonngdiv,7
14,2016,nonngdiv,8
14,2017,nonngdiv,8
14,2018,nonngdiv,6
15,2012,nonngdiv,13
15,2013,nonngdiv,12
15,2014,nonngdiv,7
15,2016,nonngdiv,9
15,2017,nonngdiv,8
15,2018,nonngdiv,9
17,2012,nonngdiv,11
17,2013,nonngdiv,11
17,2014,nonngdiv,5
17,2016,nonngdiv,12
17,2017,nonngdiv,8
17,2018,nonngdiv,7
18,2012,nonngdiv,13
18,2013,nonngdiv,12
18,2014,nonngdiv,7
18,2016,nonngdiv,15
18,2017,nonngdiv,10
18,2018,nonngdiv,14
19,2012,nonngdiv,13
19,2013,nonngdiv,11
19,2014,nonngdiv,10
19,2016,nonngdiv,11
19,2017,nonngdiv,10
19,2018,nonngdiv,13
20,2012,nonngdiv,6
20,2013,nonngdiv,4
20,2014,nonngdiv,4
20,2016,nonngdiv,4
20,2017,nonngdiv,12
20,2018,nonngdiv,9
21,2012,nonngdiv,14
21,2013,nonngdiv,8
21,2014,nonngdiv,10
21,2016,nonngdiv,12
21,2017,nonngdiv,11
21,2018,nonngdiv,13
22,2012,nonngdiv,13
22,2013,nonngdiv,11
22,2014,nonngdiv,13
22,2016,nonngdiv,14
22,2017,nonngdiv,13
22,2018,nonngdiv,11
23,2012,nonngdiv,15
23,2013,nonngdiv,7
23,2014,nonngdiv,9
23,2016,nonngdiv,11
23,2017,nonngdiv,11
23,2018,nonngdiv,7
24,2013,nonngdiv,11
24,2014,nonngdiv,9
24,2016,nonngdiv,8
24,2017,nonngdiv,8
24,2018,nonngdiv,8
25,2012,nonngdiv,12
25,2013,nonngdiv,9
25,2014,nonngdiv,5
25,2016,nonngdiv,12
25,2017,nonngdiv,10
25,2018,nonngdiv,6
26,2012,nonngdiv,13
26,2013,nonngdiv,11
26,2014,nonngdiv,7
26,2016,nonngdiv,13
26,2017,nonngdiv,10
26,2018,nonngdiv,11
27,2012,nonngdiv,13
27,2013,nonngdiv,8
27,2014,nonngdiv,9
27,2016,nonngdiv,11
27,2017,nonngdiv,12
27,2018,nonngdiv,15
28,2012,nonngdiv,11
28,2013,nonngdiv,13
28,2014,nonngdiv,9
28,2016,nonngdiv,12
28,2017,nonngdiv,10
28,2018,nonngdiv,10
29,2012,nonngdiv,12
29,2013,nonngdiv,12
29,2014,nonngdiv,8
29,2016,nonngdiv,9
29,2017,nonngdiv,11
29,2018,nonngdiv,9
31,2012,nonngdiv,11
31,2013,nonngdiv,12
31,2014,nonngdiv,11
31,2016,nonngdiv,17
31,2017,nonngdiv,11
31,2018,nonngdiv,12
32,2012,nonngdiv,15
32,2013,nonngdiv,12
32,2014,nonngdiv,12
32,2016,nonngdiv,9
32,2017,nonngdiv,11
32,2018,nonngdiv,10
33,2012,nonngdiv,11
33,2013,nonngdiv,11
33,2014,nonngdiv,9
33,2016,nonngdiv,9
33,2017,nonngdiv,12
33,2018,nonngdiv,12
34,2012,nonngdiv,12
34,2013,nonngdiv,14
34,2014,nonngdiv,11
34,2016,nonngdiv,10
34,2017,nonngdiv,14
34,2018,nonngdiv,14
35,2012,nonngdiv,13
35,2013,nonngdiv,11
35,2014,nonngdiv,9
35,2016,nonngdiv,13
35,2017,nonngdiv,11
35,2018,nonngdiv,15
36,2012,nonngdiv,12
36,2013,nonngdiv,9
36,2014,nonngdiv,7
36,2016,nonngdiv,8
36,2017,nonngdiv,9
36,2018,nonngdiv,12
40,2012,nonngdiv,15
40,2013,nonngdiv,10
40,2014,nonngdiv,13
40,2016,nonngdiv,13
40,2017,nonngdiv,9
40,2018,nonngdiv,6
41,2012,nonngdiv,14
41,2013,nonngdiv,13
41,2014,nonngdiv,13
41,2016,nonngdiv,16
41,2017,nonngdiv,14
41,2018,nonngdiv,10
42,2012,nonngdiv,14
42,2013,nonngdiv,13
42,2014,nonngdiv,12
42,2016,nonngdiv,14
42,2017,nonngdiv,13
42,2018,nonngdiv,10
43,2012,nonngdiv,13
43,2013,nonngdiv,10
43,2014,nonngdiv,9
43,2016,nonngdiv,8
43,2017,nonngdiv,11
43,2018,nonngdiv,9
44,2012,nonngdiv,13
44,2013,nonngdiv,10
44,2014,nonngdiv,11
44,2016,nonngdiv,12
44,2017,nonngdiv,11
44,2018,nonngdiv,12
45,2012,nonngdiv,11
45,2013,nonngdiv,9
45,2014,nonngdiv,10
45,2016,nonngdiv,12
45,2017,nonngdiv,9
45,2018,nonngdiv,14
46,2012,nonngdiv,13
46,2013,nonngdiv,11
46,2014,nonngdiv,9
46,2016,nonngdiv,13
46,2017,nonngdiv,8
46,2018,nonngdiv,13
47,2012,nonngdiv,13
47,2013,nonngdiv,11
47,2014,nonngdiv,10
47,2016,nonngdiv,13
47,2017,nonngdiv,11
47,2018,nonngdiv,8
48,2012,nonngdiv,10
48,2013,nonngdiv,11
48,2014,nonngdiv,9
48,2016,nonngdiv,10
48,2017,nonngdiv,7
48,2018,nonngdiv,12
49,2012,nonngdiv,14
49,2013,nonngdiv,9
49,2014,nonngdiv,8
49,2016,nonngdiv,10
49,2017,nonngdiv,12
49,2018,nonngdiv,5
50,2012,nonngdiv,11
50,2013,nonngdiv,11
50,2014,nonngdiv,8
50,2016,nonngdiv,13
50,2017,nonngdiv,11
50,2018,nonngdiv,8
51,2012,nonngdiv,12
51,2013,nonngdiv,9
51,2014,nonngdiv,10
51,2016,nonngdiv,15
51,2017,nonngdiv,11
51,2018,nonngdiv,11
52,2012,nonngdiv,12
52,2013,nonngdiv,13
52,2014,nonngdiv,10
52,2016,nonngdiv,14
52,2017,nonngdiv,9
52,2018,nonngdiv,6
53,2012,nonngdiv,13
53,2013,nonngdiv,10
53,2014,nonngdiv,7
53,2016,nonngdiv,10
53,2017,nonngdiv,9
53,2018,nonngdiv,6
55,2012,nonngdiv,11
55,2013,nonngdiv,8
55,2014,nonngdiv,7
55,2016,nonngdiv,8
55,2017,nonngdiv,8
55,2018,nonngdiv,5
56,2012,nonngdiv,13
56,2013,nonngdiv,13
56,2014,nonngdiv,7
56,2016,nonngdiv,15
56,2017,nonngdiv,7
56,2018,nonngdiv,10
57,2012,nonngdiv,11
57,2013,nonngdiv,12
57,2014,nonngdiv,10
57,2016,nonngdiv,12
57,2017,nonngdiv,12
57,2018,nonngdiv,13
59,2012,nonngdiv,9
59,2013,nonngdiv,11
59,2014,nonngdiv,8
59,2016,nonngdiv,11
59,2017,nonngdiv,11
59,2018,nonngdiv,15
60,2012,nonngdiv,10
60,2013,nonngdiv,10
60,2014,nonngdiv,7
60,2016,nonngdiv,9
60,2017,nonngdiv,10
60,2018,nonngdiv,13
61,2012,nonngdiv,13
61,2013,nonngdiv,12
61,2014,nonngdiv,11
61,2016,nonngdiv,12
61,2017,nonngdiv,12
61,2018,nonngdiv,12
62,2012,nonngdiv,13
62,2013,nonngdiv,9
62,2014,nonngdiv,12
62,2016,nonngdiv,11
62,2017,nonngdiv,9
62,2018,nonngdiv,11
63,2012,nonngdiv,12
63,2013,nonngdiv,10
63,2014,nonngdiv,8
63,2016,nonngdiv,12
63,2017,nonngdiv,9
63,2018,nonngdiv,11
64,2012,nonngdiv,14
64,2013,nonngdiv,11
64,2014,nonngdiv,8
64,2016,nonngdiv,13
64,2017,nonngdiv,11
64,2018,nonngdiv,13
65,2012,nonngdiv,13
65,2013,nonngdiv,8
65,2014,nonngdiv,9
65,2016,nonngdiv,15
65,2017,nonngdiv,7
65,2018,nonngdiv,12
66,2012,nonngdiv,15
66,2013,nonngdiv,8
66,2014,nonngdiv,11
66,2016,nonngdiv,14
66,2017,nonngdiv,10
66,2018,nonngdiv,10
67,2012,nonngdiv,9
67,2013,nonngdiv,10
67,2014,nonngdiv,10
67,2016,nonngdiv,12
67,2017,nonngdiv,9
67,2018,nonngdiv,9
68,2012,nonngdiv,12
68,2013,nonngdiv,10
68,2014,nonngdiv,11
68,2016,nonngdiv,13
68,2017,nonngdiv,11
68,2018,nonngdiv,11
12a,2012,nonngdiv,12
12a,2013,nonngdiv,10
12a,2014,nonngdiv,7
12a,2016,nonngdiv,14
12a,2017,nonngdiv,9
12a,2018,nonngdiv,12
12b,2012,nonngdiv,12
12b,2013,nonngdiv,11
12b,2014,nonngdiv,8
12b,2016,nonngdiv,15
12b,2017,nonngdiv,13
12b,2018,nonngdiv,11
16a,2012,nonngdiv,13
16a,2013,nonngdiv,12
16a,2014,nonngdiv,6
16a,2016,nonngdiv,14
16a,2017,nonngdiv,8
16a,2018,nonngdiv,9
16b,2012,nonngdiv,12
16b,2013,nonngdiv,9
16b,2014,nonngdiv,10
16b,2016,nonngdiv,13
16b,2017,nonngdiv,12
16b,2018,nonngdiv,13
2a,2012,nonngdiv,13
2a,2013,nonngdiv,14
2a,2014,nonngdiv,12
2a,2016,nonngdiv,13
2a,2017,nonngdiv,14
2a,2018,nonngdiv,13
2b,2012,nonngdiv,9
2b,2013,nonngdiv,12
2b,2014,nonngdiv,7
2b,2017,nonngdiv,5
2b,2018,nonngdiv,9
30a,2012,nonngdiv,14
30a,2013,nonngdiv,10
30a,2014,nonngdiv,13
30a,2016,nonngdiv,12
30a,2017,nonngdiv,13
30a,2018,nonngdiv,9
30b,2012,nonngdiv,9
30b,2013,nonngdiv,8
30b,2014,nonngdiv,9
30b,2016,nonngdiv,7
30b,2017,nonngdiv,5
30b,2018,nonngdiv,11
37a,2012,nonngdiv,9
37a,2013,nonngdiv,14
37a,2014,nonngdiv,7
37a,2016,nonngdiv,11
37a,2017,nonngdiv,5
37a,2018,nonngdiv,8
37b,2012,nonngdiv,10
37b,2013,nonngdiv,12
37b,2014,nonngdiv,8
37b,2016,nonngdiv,12
37b,2017,nonngdiv,10
37b,2018,nonngdiv,8
38a,2012,nonngdiv,12
38a,2013,nonngdiv,15
38a,2014,nonngdiv,12
38a,2016,nonngdiv,14
38a,2017,nonngdiv,13
38a,2018,nonngdiv,10
38b,2012,nonngdiv,6
38b,2013,nonngdiv,4
38b,2017,nonngdiv,3
38b,2018,nonngdiv,4
39a,2012,nonngdiv,14
39a,2013,nonngdiv,10
39a,2014,nonngdiv,12
39a,2016,nonngdiv,7
39a,2017,nonngdiv,5
39a,2018,nonngdiv,5
39b,2012,nonngdiv,14
39b,2013,nonngdiv,12
39b,2014,nonngdiv,10
39b,2016,nonngdiv,11
39b,2017,nonngdiv,11
39b,2018,nonngdiv,10
58a,2012,nonngdiv,15
58a,2013,nonngdiv,12
58a,2014,nonngdiv,12
58a,2016,nonngdiv,12
58a,2017,nonngdiv,12
58a,2018,nonngdiv,11
58b,2012,nonngdiv,10
58b,2013,nonngdiv,10
58b,2014,nonngdiv,6
58b,2017,nonngdiv,8
58b,2018,nonngdiv,7
6a,2012,nonngdiv,10
6a,2013,nonngdiv,11
6a,2014,nonngdiv,12
6a,2016,nonngdiv,12
6a,2017,nonngdiv,15
6a,2018,nonngdiv,11
6b,2012,nonngdiv,10
6b,2013,nonngdiv,12
6b,2014,nonngdiv,10
6b,2016,nonngdiv,14
6b,2017,nonngdiv,10
6b,2018,nonngdiv,9
1,2012,invdiv,2
1,2013,invdiv,2
1,2014,invdiv,1
1,2017,invdiv,3
1,2018,invdiv,2
3,2012,invdiv,3
3,2013,invdiv,3
3,2014,invdiv,3
3,2016,invdiv,3
3,2017,invdiv,3
3,2018,invdiv,3
4,2012,invdiv,3
4,2013,invdiv,0
4,2014,invdiv,3
4,2016,invdiv,1
4,2017,invdiv,0
4,2018,invdiv,0
5,2012,invdiv,2
5,2013,invdiv,1
5,2014,invdiv,2
5,2016,invdiv,2
5,2017,invdiv,3
5,2018,invdiv,1
7,2012,invdiv,2
7,2013,invdiv,3
7,2014,invdiv,1
7,2016,invdiv,3
7,2017,invdiv,2
7,2018,invdiv,3
8,2012,invdiv,2
8,2013,invdiv,2
8,2014,invdiv,2
8,2016,invdiv,2
8,2017,invdiv,2
8,2018,invdiv,2
9,2012,invdiv,3
9,2013,invdiv,2
9,2014,invdiv,4
9,2016,invdiv,3
9,2017,invdiv,2
9,2018,invdiv,2
10,2012,invdiv,2
10,2013,invdiv,3
10,2014,invdiv,2
10,2016,invdiv,2
10,2017,invdiv,3
10,2018,invdiv,3
11,2012,invdiv,3
11,2013,invdiv,3
11,2014,invdiv,4
11,2016,invdiv,5
11,2017,invdiv,3
11,2018,invdiv,2
14,2012,invdiv,4
14,2013,invdiv,3
14,2014,invdiv,2
14,2016,invdiv,3
14,2017,invdiv,3
14,2018,invdiv,2
15,2012,invdiv,5
15,2013,invdiv,3
15,2014,invdiv,5
15,2016,invdiv,3
15,2017,invdiv,3
15,2018,invdiv,3
17,2012,invdiv,4
17,2013,invdiv,2
17,2014,invdiv,0
17,2016,invdiv,2
17,2017,invdiv,2
17,2018,invdiv,2
18,2012,invdiv,3
18,2013,invdiv,3
18,2014,invdiv,3
18,2016,invdiv,4
18,2017,invdiv,2
18,2018,invdiv,3
19,2012,invdiv,5
19,2013,invdiv,3
19,2014,invdiv,3
19,2016,invdiv,5
19,2017,invdiv,4
19,2018,invdiv,4
20,2012,invdiv,5
20,2013,invdiv,4
20,2014,invdiv,4
20,2016,invdiv,3
20,2017,invdiv,5
20,2018,invdiv,3
21,2012,invdiv,6
21,2013,invdiv,3
21,2014,invdiv,2
21,2016,invdiv,4
21,2017,invdiv,4
21,2018,invdiv,5
22,2012,invdiv,5
22,2013,invdiv,3
22,2014,invdiv,7
22,2016,invdiv,6
22,2017,invdiv,4
22,2018,invdiv,7
23,2012,invdiv,3
23,2013,invdiv,3
23,2014,invdiv,4
23,2016,invdiv,6
23,2017,invdiv,4
23,2018,invdiv,5
24,2013,invdiv,5
24,2014,invdiv,4
24,2016,invdiv,5
24,2017,invdiv,5
24,2018,invdiv,5
25,2012,invdiv,5
25,2013,invdiv,3
25,2014,invdiv,3
25,2016,invdiv,7
25,2017,invdiv,3
25,2018,invdiv,3
26,2012,invdiv,6
26,2013,invdiv,6
26,2014,invdiv,6
26,2016,invdiv,3
26,2017,invdiv,4
26,2018,invdiv,5
27,2012,invdiv,4
27,2013,invdiv,2
27,2014,invdiv,3
27,2016,invdiv,3
27,2017,invdiv,3
27,2018,invdiv,6
28,2012,invdiv,5
28,2013,invdiv,3
28,2014,invdiv,4
28,2016,invdiv,2
28,2017,invdiv,3
28,2018,invdiv,5
29,2012,invdiv,5
29,2013,invdiv,5
29,2014,invdiv,4
29,2016,invdiv,5
29,2017,invdiv,3
29,2018,invdiv,5
31,2012,invdiv,4
31,2013,invdiv,4
31,2014,invdiv,4
31,2016,invdiv,4
31,2017,invdiv,5
31,2018,invdiv,4
