Point Name,Year,bulk.dens.gcm3,bulk.dens.sd,water.infil,water.infil.sd,carbonA,carbonB,depth,depth.sd,CalciumA,CalciumB,CECA,CECB,ClayA,ClayB,MagnesiumA,MagnesiumB,Olsen PA,Olsen PB,Organic CarbonA,Organic CarbonB,pHA,pHB,PotassiumA,PotassiumB,SandA,SandB,SiltA,SiltB,SodiumA,SodiumB,TextureA,TextureB,Total CarbonA,Total CarbonB,Total NitrogenA,Total NitrogenB,richA,richB
TOKA-034,2015,0.9080627252761888,0.029029990041220286,43.6,25.481365740477884,5,2.9,37.2,2.16794833886788,18,20,47,49,38.8,16.2,10,10,34,21,5,2.9,5.5,5.7,0.92,0.72,23.8,41.2,37.5,42.5,0.51,0.69,Clay Loam,Loam,5,2.9,NA,0.27,1219.2,903.9
TOKA-034,2018,1.0299779048048023,0.19830214102567148,2931.6,5862.249209987579,4.9,2.9,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-035,2015,NaN,NA,13,8.12403840463596,3.5,1.8,33.4,3.5777087639996634,23,22,46,38,28.8,26.2,10,10,11,4.4,3.5,1.8,6.3,5.9,1.1,0.49,41.2,48.8,30,25,0.22,0.31,Clay Loam,Sandy Clay Loam,3.5,1.8,0.28,0.16,NA,NA
TOKA-035,2018,NaN,NA,12.8,10.497618777608569,4.1,2.3,32.4,10.430723848324238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-041,2015,1.1867276165101857,0.05929476612382998,42.2,19.892209530366404,3.8,2.7,37.8,0.44721359549995793,11,10,32,30,33.8,35,5.1,4.8,10,4.6,3.8,2.7,5.6,5.7,0.99,0.63,26.2,23.8,40,41.2,0.35,0.39,Clay Loam,Clay Loam,3.8,2.7,0.36,0.27,1122.1,811.4
TOKA-041,2018,1.126024791786289,0.19790272653631039,44.8,39.90864567985238,3,2.2,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-045,2015,NaN,NA,9.2,6.099180272790763,3.7,2.1,35,3.7416573867739413,17,18,43,44,NA,36.2,9.5,12,8.4,2.9,3.7,2.1,6.1,5.7,1.2,0.69,NA,32.5,NA,31.2,0.22,0.14,NA,Clay Loam,3.7,2.1,0.34,0.22,NA,NA
TOKA-045,2018,0.8930136332726644,0.0703416419172822,13,11.022703842524301,4.6,2.3,38.4,3.5777087639996634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-055,2015,1.2403866626625466,0.07873506354700976,500.4,416.0003605767668,3.2,2.5,38,1.224744871391589,8.4,8.1,27,26,36.2,38.8,4.7,5.1,6.6,3.9,3.2,2.5,5.1,5,1.1,0.75,26.2,25,37.5,36.2,0.14,0.15,Clay Loam,Clay Loam,3.2,2.5,0.31,0.26,1166.1,1266.4
TOKA-055,2018,1.2064810573082987,0.13184487661705266,92.6,114.88385439216427,3.4,2.5,35.8,9.391485505499118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-057,2015,1.2386645351436685,0.1237616796448297,9.4,5.941380311005179,3.1,2.2,35,2.5495097567963922,11,10,28,28,37.5,40,6.3,6.4,5.5,1,3.1,2.2,5.6,5.8,0.72,0.48,23.8,21.2,38.8,38.8,0.44,0.52,Clay Loam,Clay,3.1,2.2,0.3,0.23,1434.2,810.4
TOKA-057,2018,1.136623704037741,0.10781838145186984,184.2,325.630465405189,3,2.1,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-060,2015,1.1168129235305937,0.18036684907486542,42.4,55.75661395744903,4.3,2.4,36.4,0.8944271909999159,18,17,39,37,31.2,31.9,8,8.4,12,6.2,4.3,2.4,5.8,5.7,1,0.67,41.2,39.4,27.5,28.8,0.26,0.36,Clay Loam,Clay Loam,4.3,2.4,0.34,0.23,1625.7,1294.5
