date,datatype,station,value,fl_a,fl_M,fl_Q,fl_S
2013-10-01T00:00:00Z,TMAX,GHCND:USC00043714,18.29,NA,NA,NA,NA
2013-10-01T00:00:00Z,TMIN,GHCND:USC00043714,7.64,NA,NA,NA,NA
2013-11-01T00:00:00Z,PRCP,GHCND:USC00043714,31.6,NA,NA,NA,NA
2013-11-01T00:00:00Z,TAVG,GHCND:USC00043714,11.42,NA,NA,NA,NA
2013-11-01T00:00:00Z,TMAX,GHCND:USC00043714,16.28,NA,NA,NA,NA
2013-11-01T00:00:00Z,TMIN,GHCND:USC00043714,6.57,NA,NA,NA,NA
2013-12-01T00:00:00Z,PRCP,GHCND:USC00043714,5.9,NA,NA,NA,NA
2013-12-01T00:00:00Z,TAVG,GHCND:USC00043714,10.01,NA,NA,NA,NA
2013-12-01T00:00:00Z,TMAX,GHCND:USC00043714,15.91,NA,NA,NA,NA
2013-12-01T00:00:00Z,TMIN,GHCND:USC00043714,4.1,NA,NA,NA,NA
2014-01-01T00:00:00Z,PRCP,GHCND:USC00043714,4.5,NA,NA,NA,NA
2014-01-01T00:00:00Z,TAVG,GHCND:USC00043714,11.54,NA,NA,NA,NA
2014-01-01T00:00:00Z,TMAX,GHCND:USC00043714,17.82,NA,NA,NA,NA
2014-01-01T00:00:00Z,TMIN,GHCND:USC00043714,5.27,NA,NA,NA,NA
2014-02-01T00:00:00Z,PRCP,GHCND:USC00043714,85.4,NA,NA,NA,NA
2014-02-01T00:00:00Z,TAVG,GHCND:USC00043714,10.77,NA,NA,NA,NA
2014-02-01T00:00:00Z,TMAX,GHCND:USC00043714,14.69,NA,NA,NA,NA
2014-02-01T00:00:00Z,TMIN,GHCND:USC00043714,6.85,NA,NA,NA,NA
2014-03-01T00:00:00Z,PRCP,GHCND:USC00043714,50.5,NA,NA,NA,NA
2014-03-01T00:00:00Z,TAVG,GHCND:USC00043714,12.58,NA,NA,NA,NA
2014-03-01T00:00:00Z,TMAX,GHCND:USC00043714,17.51,NA,NA,NA,NA
2014-03-01T00:00:00Z,TMIN,GHCND:USC00043714,7.65,NA,NA,NA,NA
2014-04-01T00:00:00Z,PRCP,GHCND:USC00043714,30.9,NA,NA,NA,NA
2014-04-01T00:00:00Z,TAVG,GHCND:USC00043714,12.19,NA,NA,NA,NA
2014-04-01T00:00:00Z,TMAX,GHCND:USC00043714,16.7,NA,NA,NA,NA
2014-04-01T00:00:00Z,TMIN,GHCND:USC00043714,7.68,NA,NA,NA,NA
2014-05-01T00:00:00Z,PRCP,GHCND:USC00043714,1.3,NA,NA,NA,NA
2014-05-01T00:00:00Z,TAVG,GHCND:USC00043714,14.01,NA,NA,NA,NA
2014-05-01T00:00:00Z,TMAX,GHCND:USC00043714,18.87,NA,NA,NA,NA
2014-05-01T00:00:00Z,TMIN,GHCND:USC00043714,9.16,NA,NA,NA,NA
2014-06-01T00:00:00Z,PRCP,GHCND:USC00043714,1.3,NA,NA,NA,NA
2014-06-01T00:00:00Z,TAVG,GHCND:USC00043714,13.97,NA,NA,NA,NA
2014-06-01T00:00:00Z,TMAX,GHCND:USC00043714,18.01,NA,NA,NA,NA
2014-06-01T00:00:00Z,TMIN,GHCND:USC00043714,9.93,NA,NA,NA,NA
2014-07-01T00:00:00Z,PRCP,GHCND:USC00043714,1.7,NA,NA,NA,NA
2014-07-01T00:00:00Z,TAVG,GHCND:USC00043714,16.84,NA,NA,NA,NA
2014-07-01T00:00:00Z,TMAX,GHCND:USC00043714,20.45,NA,NA,NA,NA
2014-07-01T00:00:00Z,TMIN,GHCND:USC00043714,13.22,NA,NA,NA,NA
2014-08-01T00:00:00Z,PRCP,GHCND:USC00043714,3,NA,NA,NA,NA
2014-08-01T00:00:00Z,TAVG,GHCND:USC00043714,17.35,NA,NA,NA,NA
2014-08-01T00:00:00Z,TMAX,GHCND:USC00043714,20.57,NA,NA,NA,NA
2014-08-01T00:00:00Z,TMIN,GHCND:USC00043714,14.12,NA,NA,NA,NA
2014-09-01T00:00:00Z,PRCP,GHCND:USC00043714,13.3,NA,NA,NA,NA
2014-09-01T00:00:00Z,TAVG,GHCND:USC00043714,17.32,NA,NA,NA,NA
2014-09-01T00:00:00Z,TMAX,GHCND:USC00043714,20.61,NA,NA,NA,NA
2014-09-01T00:00:00Z,TMIN,GHCND:USC00043714,14.03,NA,NA,NA,NA
2014-10-01T00:00:00Z,PRCP,GHCND:USC00043714,24,NA,NA,NA,NA
2014-10-01T00:00:00Z,TAVG,GHCND:USC00043714,15.78,NA,NA,NA,NA
2014-10-01T00:00:00Z,TMAX,GHCND:USC00043714,21.05,NA,NA,NA,NA
2014-10-01T00:00:00Z,TMIN,GHCND:USC00043714,10.5,NA,NA,NA,NA
2014-11-01T00:00:00Z,PRCP,GHCND:USC00043714,44.5,NA,NA,NA,NA
2014-11-01T00:00:00Z,TAVG,GHCND:USC00043714,13.59,NA,NA,NA,NA
2014-11-01T00:00:00Z,TMAX,GHCND:USC00043714,18.44,NA,NA,NA,NA
2014-11-01T00:00:00Z,TMIN,GHCND:USC00043714,8.74,NA,NA,NA,NA
2014-12-01T00:00:00Z,PRCP,GHCND:USC00043714,274.4,NA,NA,NA,NA
2014-12-01T00:00:00Z,TAVG,GHCND:USC00043714,12.98,NA,NA,NA,NA
2014-12-01T00:00:00Z,TMAX,GHCND:USC00043714,16.68,NA,NA,NA,NA
2014-12-01T00:00:00Z,TMIN,GHCND:USC00043714,9.27,NA,NA,NA,NA
2015-01-01T00:00:00Z,PRCP,GHCND:USC00043714,0,NA,NA,NA,NA
2015-01-01T00:00:00Z,TAVG,GHCND:USC00043714,12.78,NA,NA,NA,NA
2015-01-01T00:00:00Z,TMAX,GHCND:USC00043714,18.17,NA,NA,NA,NA
2015-01-01T00:00:00Z,TMIN,GHCND:USC00043714,7.39,NA,NA,NA,NA
