Point,SampleYear,bulk.dens.gcm3,bulk.dens.sd,water.infil,water.infil.sd,carbonA,carbonB,depth,depth.sd,Olsen_P_(ppm)_A,pH_A,CEC_(Sum_of_Cations_me/100g)_A,Calcium_(cmol_(+)/kg)_A,Magnesium_(cmol_(+)/kg)_A,Potassium_(cmol_(+)/kg)_A,Sodium_(cmol_(+)/kg)_A,Total_Nitrogen_(%)_A,Olsen_P_(ppm)_B,pH_B,CEC_(Sum_of_Cations_me/100g)_B,Calcium_(cmol_(+)/kg)_B,Magnesium_(cmol_(+)/kg)_B,Potassium_(cmol_(+)/kg)_B,Sodium_(cmol_(+)/kg)_B,Total_Nitrogen_(%)_B,richA,richB
TOKA-061,2024,1.1001668680797911,0.176524188389889,3.5158318679033878,3.4363133283886262,2.7,1.9,34.6,8.35463942968217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-064,2015,0.9722830893678047,0.1528495377797885,0.8533333333333333,0.5900094161207184,7.9,5.1,37,1.224744871391589,28,5.7,48,18,5.9,2.7,0.05,0.65,19,5.5,38,13,4.8,1.9,0.1,0.48,1346.3,1047.7
TOKA-064,2018,0.8410636102130832,0.1586424495679946,0.7865527265396591,0.45063957481175404,7.8,5.3,40,0,16.1,5.2,26.2,8.45,4.3,1.218,0.16,0.63,19.8,5.6,25.9,9.9,4.2,1.4,0.13,0.51,NA,NA
TOKA-067,2015,0.9903953275310194,0.13707673130567274,0.33999999999999997,0.26812103402920273,3.2,2.3,38.8,1.0954451150103321,9.3,5.9,50,23,14,0.82,0.27,0.33,3.6,5.7,58,24,15,0.64,0.6,0.24,1529.9,1011.8
TOKA-067,2018,0.8380232930757806,0.08660817408837468,1.7579442078018976,0.9265193520920324,3.5,2.3,40,0,13.8,6.5,44.4,21.82,16.3,0.787,0.44,0.38,8,6.4,52.4,24.96,19.7,0.695,0.8,0.29,NA,NA
TOKA-067,2021,0.8730986351258012,0.024313143178537226,4.055335634225887,5.119740751960536,3.5,2.5,40,0,13.4,6.3,27.6,13.525,8.1,0.485,0.47,0.3007,4.7,6.2,32.4,16.25,10.2,0.372,0.7,0.2652,NA,NA
TOKA-067,2024,0.9116806336465849,0.053388077431822625,2.3839936073475156,0.7537523764931202,2.8,2,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-068,2015,1.2769272563474934,0.019447602690012514,10.683333333333334,8.196738850163385,2.7,2.2,37.8,0.44721359549995793,11,5.5,33,13,8.5,0.64,0.41,0.28,5,5.5,36,14,9.1,0.44,0.41,0.26,1364.3,1297.2
TOKA-068,2018,1.1568318693264656,0.06771914804984139,10.806349054130889,8.858341402176986,3.1,2.1,40,0,23.9,6.4,29.6,13.49,9.8,0.672,0.4,0.35,4.3,6.1,28.3,11.5,8.8,0.446,0.56,0.27,NA,NA
TOKA-068,2021,1.14149047436347,0.1458462183521793,1.3049418996209101,0.40923533971561743,3.2,2,39.2,1.7888543819998317,12.9,6.2,23.7,11.375,6.4,0.449,0.32,0.3168,12.5,6,27.6,12.31,8.4,0.338,0.48,0.2654,NA,NA
TOKA-068,2024,1.1074415569469789,0.10453393440503136,150.55815809266383,116.31655236316443,3.1,1.9,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-071,2015,NA,NA,0.4766666666666667,0.2919284539441509,10,3.8,38.8,1.0954451150103321,22,5.8,65,23,11,2,0.23,0.61,11,5.6,60,17,12,1.2,0.28,0.3,NA,NA
