field,Start.Date,End.Date,Herd,n,days,season,Pasture
31,2023-10-23T16:35:00Z,2023-10-26T16:38:00Z,k,6.036555999999999,3.00208333333333,Dormant,31
32,2023-07-04T20:57:00Z,2023-07-10T20:59:00Z,Does,3.0476626000000002,6.00138888888889,Dormant,32
32,2023-07-04T20:58:00Z,2023-07-10T20:59:00Z,Wethers,5.7777993,6.00069444444444,Dormant,32
32,2023-08-18T20:20:00Z,2023-08-22T23:23:00Z,Cows,43.95934,4.12708333333333,Dormant,32
32,2023-08-18T20:20:00Z,2023-08-22T23:23:00Z,k,15.68122,4.12708333333333,Dormant,32
32,2023-12-13T20:08:00Z,2023-12-18T23:09:00Z,k,6.4157173,5.12569444444444,Dormant,32
32,2023-12-13T20:08:00Z,2023-12-18T23:09:00Z,Cows,45.82193,5.12569444444444,Dormant,32
32,2023-12-13T20:08:00Z,2023-12-18T23:09:00Z,Non-Breeding Cattle,29.271264,5.12569444444444,Dormant,32
32,2024-02-14T03:23:00Z,2024-02-15T10:00:00Z,k,6.8234946,1.27569444444444,Dormant,32
32,2024-02-14T03:23:00Z,2024-02-15T10:00:00Z,Cows,47.030324,1.27569444444444,Dormant,32
32,2024-02-14T03:23:00Z,2024-02-15T10:00:00Z,Non-Breeding Cattle,24.300537,1.27569444444444,Dormant,32
33,2023-12-10T20:06:00Z,2023-12-13T20:08:00Z,Non-Breeding Cattle,29.20044,3.00138888888889,Dormant,33
33,2023-12-10T20:06:00Z,2023-12-13T20:08:00Z,Cows,45.714510000000004,3.00138888888889,Dormant,33
33,2023-12-10T20:06:00Z,2023-12-13T20:08:00Z,k,6.3799472999999995,3.00138888888889,Dormant,33
33,2024-02-13T22:24:00Z,2024-02-14T03:23:00Z,Cows,47.030324,0.207638888888889,Dormant,33
33,2024-02-13T22:24:00Z,2024-02-14T03:23:00Z,Non-Breeding Cattle,24.300537,0.207638888888889,Dormant,33
33,2024-02-13T22:24:00Z,2024-02-14T03:23:00Z,k,6.8234946,0.207638888888889,Dormant,33
34,2023-07-01T20:45:00Z,2023-07-04T20:57:00Z,Does,3.0424578,3.00833333333333,Dormant,34
34,2023-07-01T20:45:00Z,2023-07-04T20:58:00Z,Wethers,5.766908,3.00902777777778,Dormant,34
34,2024-01-19T19:39:00Z,2024-01-20T18:59:00Z,k,6.651799,0.972222222222222,Dormant,34
34,2024-01-19T19:39:00Z,2024-01-20T18:59:00Z,Cows,46.520105,0.972222222222222,Dormant,34
34,2024-01-19T19:39:00Z,2024-01-20T18:59:00Z,Non-Breeding Cattle,29.732623,0.972222222222222,Dormant,34
35,2023-07-01T09:00:00Z,2023-07-03T22:09:00Z,Bulls,3.963661,2.54791666666667,Dormant,35
35,2023-07-07T01:02:00Z,2023-07-08T01:04:00Z,Cows,45.707457000000005,1.00138888888889,Dormant,35
35,2023-07-07T01:02:00Z,2023-07-08T01:04:00Z,k,14.985121,1.00138888888889,Dormant,35
35,2023-10-02T02:03:00Z,2023-10-03T21:04:00Z,Cows,44.890316,1.79236111111111,Dormant,35
35,2023-10-02T02:03:00Z,2023-10-03T21:04:00Z,k,5.872014600000001,1.79236111111111,Dormant,35
35,2023-10-27T18:42:00Z,2023-11-03T23:45:00Z,Bulls,1.7331893,7.21041666666667,Dormant,35
35,2023-11-14T21:48:00Z,2023-12-11T21:49:00Z,Does,3.1012530000000003,27.0006944444444,Dormant,35
35,2024-01-24T21:56:00Z,2024-01-26T18:00:00Z,Does,3.1411567,1.83611111111111,Dormant,35
35,2024-01-24T21:57:00Z,2024-01-26T18:00:00Z,Kids,3,1.83541666666667,Dormant,35
35,2024-01-24T21:57:00Z,2024-01-26T18:00:00Z,Wethers,5.1408325,1.83541666666667,Dormant,35
36,2023-08-30T20:46:00Z,2023-08-31T17:09:00Z,Cows,44.157723,0.849305555555556,Dormant,36
36,2023-08-30T20:46:00Z,2023-08-31T17:09:00Z,k,15.817413,0.849305555555556,Dormant,36
36,2024-01-20T18:59:00Z,2024-01-22T02:58:00Z,k,6.658952599999999,1.33263888888889,Dormant,36
36,2024-01-20T18:59:00Z,2024-01-22T02:58:00Z,Non-Breeding Cattle,29.747428,1.33263888888889,Dormant,36
36,2024-01-20T18:59:00Z,2024-01-22T02:58:00Z,Cows,46.542727,1.33263888888889,Dormant,36
36A,2023-08-31T17:09:00Z,2023-09-02T01:10:00Z,k,15.832546,1.33402777777778,Dormant,36
36A,2023-08-31T17:09:00Z,2023-09-02T01:10:00Z,Cows,44.18134,1.33402777777778,Dormant,36
36A,2024-01-25T10:00:00Z,2024-01-25T20:06:00Z,Cows,46.626105,0.420833333333333,Dormant,36
36A,2024-01-25T10:00:00Z,2024-01-25T20:06:00Z,Non-Breeding Cattle,29.802646,0.420833333333333,Dormant,36
36A,2024-01-25T10:00:00Z,2024-01-25T20:06:00Z,k,6.687569000000001,0.420833333333333,Dormant,36
36A,2024-01-28T01:38:00Z,2024-02-06T20:35:00Z,Kids,3,9.78958333333333,Dormant,36
36A,2024-01-28T01:38:00Z,2024-02-06T20:35:00Z,Wethers,5.1607993,9.78958333333333,Dormant,36
36A,2024-01-28T01:38:00Z,2024-02-06T20:35:00Z,Does,3.1506987,9.78958333333333,Dormant,36
37A,2023-09-02T01:10:00Z,2023-09-04T18:11:00Z,Cows,44.24652,2.70902777777778,Dormant,37A
37A,2023-09-02T01:10:00Z,2023-09-04T18:11:00Z,k,15.877943,2.70902777777778,Dormant,37A
37A,2024-01-22T02:58:00Z,2024-01-25T10:00:00Z,k,6.6804146,3.29305555555556,Dormant,37A
37A,2024-01-22T02:58:00Z,2024-01-25T10:00:00Z,Non-Breeding Cattle,29.789441,3.29305555555556,Dormant,37A
37A,2024-01-22T02:58:00Z,2024-01-25T10:00:00Z,Cows,46.606324,3.29305555555556,Dormant,37A
37A,2024-01-26T18:00:00Z,2024-01-28T01:38:00Z,Kids,3,1.31805555555556,Dormant,37A
37A,2024-01-26T18:00:00Z,2024-01-28T01:38:00Z,Wethers,5.143136999999999,1.31805555555556,Dormant,37A
37A,2024-01-26T18:00:00Z,2024-01-28T01:38:00Z,Does,3.1420242,1.31805555555556,Dormant,37A
37B,2023-09-04T18:11:00Z,2023-09-05T21:13:00Z,k,15.893075999999999,1.12638888888889,Dormant,37B
37B,2023-09-04T18:11:00Z,2023-09-05T21:13:00Z,Cows,44.26872,1.12638888888889,Dormant,37B
37B,2023-09-05T21:12:00Z,2023-09-12T21:12:00Z,Wethers,5.6444595,7,Dormant,37B
37B,2023-09-10T20:29:00Z,2023-09-19T19:33:00Z,k,5.7718584,8.96111111111111,Dormant,37B
37B,2023-09-19T18:32:00Z,2023-09-19T19:33:00Z,Cows,44.579519999999995,0.0423611111111111,Dormant,37B
37B,2023-09-25T22:03:00Z,2023-10-02T02:03:00Z,Cows,44.847336000000006,6.16666666666667,Dormant,37B
37B,2023-09-25T22:03:00Z,2023-10-02T02:03:00Z,k,5.8577065,6.16666666666667,Dormant,37B
38A,2023-08-06T21:05:00Z,2023-08-11T21:05:00Z,Does,3.0754216000000003,5,Dormant,38A
38A,2023-08-06T21:05:00Z,2023-08-15T21:09:00Z,Wethers,5.7186353,9.00277777777778,Dormant,38A
38A,2023-09-05T21:13:00Z,2023-09-10T20:29:00Z,k,15.968738,4.96944444444444,Dormant,38A
38A,2023-09-05T21:13:00Z,2023-09-19T18:32:00Z,Cows,44.579519999999995,13.8881944444444,Dormant,38A
39A,2023-10-03T21:04:00Z,2023-10-06T18:06:00Z,Cows,44.956917999999995,2.87638888888889,Dormant,39A
39A,2023-10-03T21:04:00Z,2023-10-06T18:06:00Z,k,5.8934766,2.87638888888889,Dormant,39A
39B,2023-08-22T23:23:00Z,2023-08-30T20:46:00Z,k,15.802280000000001,7.89097222222222,Dormant,39B
39B,2023-08-22T23:23:00Z,2023-08-30T20:46:00Z,Cows,44.13552,7.89097222222222,Dormant,39B
4,2023-08-15T04:50:00Z,2023-08-16T04:00:00Z,Cows,46.636137000000005,0.965277777777778,Dormant,4
4,2023-08-15T04:50:00Z,2023-08-16T04:00:00Z,k,15.575292,0.965277777777778,Dormant,4
4,2024-01-14T18:10:00Z,2024-01-16T04:34:00Z,k,6.616029,1.43333333333333,Dormant,4
4,2024-01-14T18:10:00Z,2024-01-16T04:34:00Z,Non-Breeding Cattle,29.663398,1.43333333333333,Dormant,4
4,2024-01-14T18:10:00Z,2024-01-16T04:34:00Z,Cows,46.415527000000004,1.43333333333333,Dormant,4
40,2023-11-10T19:34:00Z,2023-11-12T19:36:00Z,k,6.158174,2.00138888888889,Dormant,40
40,2023-11-10T19:34:00Z,2023-11-12T19:36:00Z,Cows,45.057311999999996,2.00138888888889,Dormant,40
41,2023-11-12T19:36:00Z,2023-11-16T01:30:00Z,k,6.1796356999999995,3.24583333333333,Dormant,41
