Pasture,season,tgd,ADA
36,Total,14.730555555555554,25.4715629267641
37A,Dormant,7.322222222222222,28.7778726411271
37A,Growing,10.302777777777779,16.8679311949148
37A,Total,17.625,45.6458038360419
37B,Dormant,21.224999999999998,34.8313469465943
37B,Growing,39.851388888888884,36.3583933940634
37B,Total,61.076388888888886,71.1897403406577
38A,Dormant,22.89236111111111,111.207334811234
38A,Growing,4.597222222222222,14.8619678657476
38A,Total,27.489583333333332,126.069302676982
39A,Dormant,2.877083333333333,31.3963447345556
39A,Growing,3.823611111111111,27.1869657923952
39A,Total,6.700694444444444,58.5833105269507
39B,Dormant,7.891666666666667,41.7806925820472
39B,Growing,8.688888888888888,10.3863482076642
39B,Total,16.580555555555556,52.1670407897113
4,Dormant,5.897916666666667,74.7056739886115
4,Growing,2.13125,13.118227277668
4,Total,8.029166666666667,87.8239012662795
40,Dormant,2.002083333333333,12.3115195217847
40,Growing,1.0687499999999999,8.64939851560877
40,Total,3.070833333333333,20.9609180373934
41,Dormant,3.246527777777778,16.3163150007771
41,Growing,2.0861111111111112,10.2410337553193
41,Total,5.332638888888889,26.5573487560964
43,Dormant,26.088194444444444,24.0538234100147
43,Growing,14.377777777777778,26.349915451114
43,Total,40.46597222222222,50.4037388611287
45,Dormant,1.9333333333333333,32.0873499735005
45,Growing,2.1395833333333334,14.1484160141385
45,Total,4.072916666666667,46.2357659876391
46,Dormant,1.4256944444444446,19.6619578175245
46,Growing,1.903472222222222,10.5290111392703
46,Total,3.3291666666666666,30.1909689567948
47,Dormant,19.03472222222222,20.1478042335863
47,Growing,29.886805555555554,46.8516622837768
47,Total,48.921527777777776,66.9994665173631
48,Dormant,1.542361111111111,10.916111610841
48,Growing,5,14.9873349524479
48,Total,6.542361111111111,25.9034465632889
49,Dormant,22.005555555555556,17.4391986733324
49,Growing,0.7840277777777778,2.42041991186538
49,Total,22.789583333333333,19.8596185851978
5,Dormant,7.276388888888889,24.7337397901234
5,Growing,2.4944444444444445,6.57706236424751
5,Total,9.770833333333332,31.3108021543709
50,Dormant,2.2930555555555556,15.3713417071948
50,Growing,5.602083333333333,15.2925537570834
50,Total,7.895138888888889,30.6638954642782
51,Dormant,23.001388888888886,29.9560285655971
51,Growing,10.122222222222222,44.9775234050583
51,Total,33.12361111111111,74.9335519706554
52,Dormant,29.001388888888886,15.4710457804121
52,Growing,7.371527777777778,6.59047551529169
52,Total,36.37291666666666,22.0615212957038
55,Dormant,1.5013888888888889,17.7970186564398
55,Growing,0,0
55,Total,1.5013888888888889,17.7970186564398
56,Dormant,96.5625,10.2926337407133
56,Growing,59.59236111111111,10.6546768103679
56,Total,156.1548611111111,20.9473105510812
57,Dormant,1.0048611111111112,8.88068692312193
57,Growing,0,0
